weights,spearman_r,spearman_p
0.0,-0.10679751583417588,0.37887890973662686
0.1,0.4679393072397372,4.4132639211888516e-05
0.2,0.500131388963087,1.0411751392731736e-05
0.30000000000000004,0.49859843269054643,1.1190411939159468e-05
0.4,0.4971183369791281,1.1993489702868554e-05
0.5,0.49655449099382587,1.2313324272165562e-05
0.6000000000000001,0.49688927454759907,1.2122476230642525e-05
0.7000000000000001,0.49688927454759907,1.2122476230642525e-05
0.8,0.49688927454759907,1.2122476230642525e-05
0.9,0.49688927454759907,1.2122476230642525e-05
1.0,0.6182229338237554,1.1810300393460665e-08
