n_pairs,metric,total_ms,per_pair_ms
10,cosine,2.77086899995993,0.277086899995993
10,xi,4.7339299999862305,0.47339299999862305
10,xi_symmetric,9.01288500000419,0.9012885000004189
50,cosine,11.507458999972187,0.23014917999944373
50,xi,23.88436400002547,0.4776872800005094
50,xi_symmetric,45.97764699997242,0.9195529399994484
100,cosine,23.687040000027082,0.23687040000027082
100,xi,47.26588699998047,0.47265886999980466
100,xi_symmetric,97.68531899999289,0.9768531899999289
500,cosine,115.575352999997,0.231150705999994
500,xi,302.13858700000173,0.6042771740000035
500,xi_symmetric,475.71610399995734,0.9514322079999147
