dimension,metric,mean_ms,std_ms,min_ms,max_ms,median_ms
10,cosine,0.23422209000273142,0.04600292381196874,0.20683799999687835,0.49844300002632735,0.2217364999808069
10,xi,0.022492969998211265,0.004119192367440874,0.02050599999847691,0.04525200000671248,0.021180000004505928
10,xi_symmetric,0.043661570001631844,0.004101432784034645,0.041630999987773976,0.06704300000137664,0.042441000005055685
10,hybrid_0.5,0.29540515999940453,0.02976132314767116,0.2641439999706563,0.4305109999904744,0.2846845000021858
50,cosine,0.25939708999715094,0.03929289706914099,0.2047829999582973,0.3725279999571285,0.24587449999557975
50,xi,0.07022157999813317,0.009496967134597717,0.0627059999942503,0.11442000004535657,0.06688199999871358
50,xi_symmetric,0.14311636000115868,0.019954433739327943,0.13083400000368783,0.22801300002583957,0.13505449999229313
50,hybrid_0.5,0.3765039399985426,0.045752168714913256,0.347391999980573,0.6610679999994318,0.36279949998174743
100,cosine,0.23330283999598578,0.024803938076617987,0.20811399997455737,0.390787000014825,0.22843349998424856
100,xi,0.13218087000211654,0.020720736718756596,0.11291999999230029,0.22142000000258122,0.1224530000172308
100,xi_symmetric,0.26102403000095364,0.01571111259686035,0.24154700003009566,0.3353970000148365,0.2592859999879238
100,hybrid_0.5,0.5216214500023852,0.021059108567973547,0.47262999999020394,0.5660589999934018,0.5195474999766247
384,cosine,0.21865066999680494,0.008253059264569096,0.2099519999774202,0.2570460000015373,0.21637849999933678
384,xi,0.4428108999985625,0.012348445813704168,0.4312949999984994,0.49922300001981057,0.43943600002194216
384,xi_symmetric,1.0324791699997604,0.26922703614922433,0.8657910000238189,1.7255949999821496,0.8804765000149928
384,hybrid_0.5,1.14405754000245,0.032633219446782956,1.1115540000332658,1.3321240000436774,1.1335019999876295
768,cosine,0.24070852000079412,0.023611259762482937,0.21237099997506448,0.3611740000337704,0.2365310000129739
768,xi,0.9704475100005538,0.08877555248984932,0.8764279999695646,1.320902000031765,0.9391884999843114
768,xi_symmetric,1.8799876900055779,0.10330462712573495,1.7895430000294255,2.7042110000365938,1.85324700001388
768,hybrid_0.5,2.2012351399985164,0.14979062673666535,2.038483000035285,2.923153999972783,2.1536045000232207
1024,cosine,0.22058392999724674,0.0075397827569292685,0.21252999999887834,0.26084900002842915,0.21895099996527279
1024,xi,1.2542657400007329,0.06921157519012572,1.1888120000094204,1.7832010000233822,1.2365140000270003
1024,xi_symmetric,2.511251319998564,0.1021314035798689,2.4009059999912097,3.1606549999878553,2.4915724999914346
1024,hybrid_0.5,2.866531809997923,0.14552986095741302,2.653215000009368,3.6379670000314945,2.8629095000098914
