sample_size,metric,mean_ms,std_ms,min_ms,max_ms,median_ms
10,xi,0.021440559999064135,0.0021961783363474265,0.020717999973385304,0.0359059999937017,0.020974999983991438
10,cosine,0.21494896000376684,0.013960094348856176,0.20391399999653004,0.2876290000131121,0.21144850001064697
50,xi,0.06920739999827674,0.006702412513803186,0.06494699999848308,0.09965399999600777,0.06705750001856359
50,cosine,0.2219863999982863,0.014647850149390589,0.20528699997157673,0.25899700000309167,0.21618950000856785
100,xi,0.12673345999928642,0.007414539349577333,0.11647099995570898,0.14944900004820738,0.1241045000028862
100,cosine,0.22379802000045856,0.014617034696690775,0.20613499998489715,0.26756300002261924,0.21753449999550867
500,xi,0.5862865600033729,0.014626550737892574,0.5677900000478076,0.6432530000211045,0.5819300000098337
500,cosine,0.21694581999668117,0.005821835746178506,0.20874699998785218,0.23560399995403714,0.21478100001104394
1000,xi,1.376668560003509,0.21015964611856466,1.1820259999808513,2.190068999993855,1.2985959999980423
1000,cosine,0.23567996000792846,0.0377648178050573,0.21174900001597052,0.3576240000029429,0.2213715000323191
